repo_url,max_stars,repo_lang,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ReleaseEvent,TeamAddEvent,WatchEvent,commitcomment.log,create.log,delete.log,fork.log,gollum.log,issuecomment.log,issues.log,member.log,public.log,pullrequest.log,pullrequestreview.log,push.log,release.log,teamadd.log,watch.log,repo_lang 2,stars.log,size,size.log,coded_lang
https://github.com/ajalt/fuckitpy,1187,Python,4,1,2,80,1,45,7,0,0,30,0,10,0,0,1241,1.60943791,0.69314718,1.09861229,4.39444915,0.69314718,3.8286414,2.07944154,0,0,3.4339872,0,2.39789527,0,0,7.12447826,Software,7.07918439,383,5.9480349892,2
https://github.com/akoenig/angular-deckgrid,539,JavaScript,0,17,2,94,0,206,70,0,0,24,1,60,0,0,554,0,2.89037176,1.09861229,4.55387689,0,5.33271879,4.26267988,0,0,3.21887582,0.69314718,4.11087386,0,0,6.31896811,Software,6.28971557,1079,6.9837899653,2
https://github.com/al3x/sovereign,3402,Ruby,7,0,0,237,31,647,230,1,0,292,38,170,0,0,1579,2.07944154,0,0,5.47227067,3.4657359,6.4738907,5.44241771,0.69314718,0,5.68017261,3.66356165,5.14166356,0,0,7.36518013,Software,8.13211877,3803,8.2435455079,2
https://github.com/alekseykulikov/storage,569,JavaScript,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0.69314718,0,0,0,0,0,0,0,0,0,0.69314718,0,0,2.56494936,Software,6.34388043,375,5.926926026,2
https://github.com/alexandersimoes/d3plus,648,JavaScript,0,38,6,38,57,103,204,2,0,6,0,704,32,0,655,0,3.66356165,1.94591015,3.66356165,4.06044301,4.6443909,5.32300998,1.09861229,0,1.94591015,0,6.5581978,3.49650756,0,6.48616079,Software,6.4738907,45261,10.720201014,2
https://github.com/alexdrone/ios-realtimeblur,862,Objective-C,0,0,0,93,0,17,13,0,0,9,0,4,0,0,447,0,0,0,4.54329478,0,2.89037176,2.63905733,0,0,2.30258509,0,1.60943791,0,0,6.10479323,Software,6.75925527,617,6.4248690239,2
https://github.com/alexnisnevich/untrusted,2226,JavaScript,34,20,2,449,11,469,334,0,0,211,6,545,0,0,2248,3.55534806,3.04452244,1.09861229,6.10924758,2.48490665,6.15273269,5.81413053,0,0,5.35658627,1.94591015,6.30261898,0,0,7.71824095,Software,7.70796153,376233,12.837963911,2
https://github.com/alexwolfe/buttons,3073,CSS,0,6,2,428,3,58,25,0,0,24,2,86,0,0,2138,0,1.94591015,1.09861229,6.06145692,1.38629436,4.07753744,3.25809654,0,0,3.21887582,1.09861229,4.46590812,0,0,7.66809371,Software,8.03040956,1717,7.4483338609,2
https://github.com/alfredxing/brick,2513,PHP,1,12,6,100,49,289,124,0,0,42,0,270,0,0,2550,0.69314718,2.56494936,1.94591015,4.61512052,3.91202301,5.66988092,4.82831374,0,0,3.76120012,0,5.60211882,0,0,7.84424072,Software,7.82923254,174908,12.0720154,2
https://github.com/alibaba/oceanbase,694,C++,0,0,0,193,460,89,49,0,0,1,0,84,0,0,413,0,0,0,5.26785816,6.13339804,4.49980967,3.91202301,0,0,0.69314718,0,4.44265126,0,0,6.02586597,Software,6.54247196,517193,13.156171391,2
https://github.com/alibaba/rocketmq,550,Java,2,62,33,334,31,801,495,0,0,12,0,150,28,0,503,1.09861229,4.14313473,3.52636052,5.81413053,3.4657359,6.68710861,6.20657593,0,0,2.56494936,0,5.01727984,3.36729583,0,6.22257627,Software,6.30991828,25294,10.138322492,2
https://github.com/alibaba/tsar,746,C,0,0,0,81,0,15,12,0,0,20,3,46,0,0,178,0,0,0,4.40671925,0,2.77258872,2.56494936,0,0,3.04452244,1.38629436,3.8501476,0,0,5.18738581,Software,6.6147256,1493,7.3085427975,2
https://github.com/alikaragoz/mcswipetableviewcell,1930,Objective-C,2,8,4,161,1,87,53,0,0,41,0,35,3,0,811,1.09861229,2.19722458,1.60943791,5.08759634,0.69314718,4.47733681,3.98898405,0,0,3.73766962,0,3.58351894,1.38629436,0,6.69950034,Software,7.56527528,2401,7.7836405962,2
https://github.com/alistapart/alistapart,566,JavaScript,6,2,0,85,0,323,119,0,1,31,0,159,0,0,591,1.94591015,1.09861229,0,4.4543473,0,5.78074352,4.78749174,0,0.69314718,3.4657359,0,5.07517382,0,0,6.38350663,Software,6.33859408,7705,8.9496247478,2
https://github.com/allinurl/goaccess,648,C,9,25,19,56,4,414,183,0,0,59,0,360,3,0,596,2.30258509,3.25809654,2.99573227,4.04305127,1.60943791,6.02827852,5.21493576,0,0,4.09434456,0,5.88887796,1.38629436,0,6.39191711,Software,6.4738907,4902,8.4973985641,2
https://github.com/almende/vis,2008,JavaScript,2,42,19,184,0,1084,458,0,0,62,2,529,0,0,2008,1.09861229,3.76120012,2.99573227,5.22035583,0,6.98933527,6.12905021,0,0,4.14313473,1.09861229,6.27287701,0,0,7.60539236,Software,7.60489448,39388,10.58121648,2
https://github.com/alobi/alalertbanner,604,Objective-C,0,1,0,72,0,53,19,0,0,13,0,9,1,0,248,0,0.69314718,0,4.29045944,0,3.98898405,2.99573227,0,0,2.63905733,0,2.30258509,0.69314718,0,5.5174529,Software,6.4035742,8476,9.0449939194,2
https://github.com/alskipp/asvaluetrackingslider,778,Objective-C,0,13,4,61,0,104,40,0,0,10,0,49,2,0,783,0,2.63905733,1.60943791,4.12713439,0,4.65396035,3.71357207,0,0,2.39789527,0,3.91202301,1.09861229,0,6.66440902,Software,6.65672652,2474,7.813591553,2
https://github.com/alssndro/sketch-plugins,612,JavaScript,0,1,0,4,0,4,6,0,0,0,0,7,0,0,95,0,0.69314718,0,1.60943791,0,1.60943791,1.94591015,0,0,0,0,2.07944154,0,0,4.56434819,Software,6.41673228,1856,7.5261789133,2
https://github.com/alvarotrigo/fullpage.js,5229,JavaScript,3,8,2,1393,4,2918,1172,0,0,196,0,445,6,0,5366,1.38629436,2.19722458,1.09861229,7.23993259,1.60943791,7.97899637,7.06731985,0,0,5.28320373,0,6.10031895,1.94591015,0,8.58802437,Software,8.56197533,18887,9.8462291337,2
https://github.com/amoffat/bootstrap-application-wizard,1520,JavaScript,0,2,0,156,0,107,66,2,0,28,0,22,0,0,388,0,1.09861229,0,5.05624581,0,4.68213123,4.20469262,1.09861229,0,3.36729583,0,3.13549422,0,0,5.96357934,Software,7.32646561,1052,6.9584483933,2
https://github.com/ampache/ampache,641,PHP,9,5,2,116,44,1618,557,0,0,121,0,282,2,0,569,2.30258509,1.79175947,1.09861229,4.76217393,3.80666249,7.38956395,6.32435896,0,0,4.80402104,0,5.6454469,1.09861229,0,6.34563636,Software,6.46302946,100229,11.515212847,2
https://github.com/amscanne/huptime,1040,C,6,7,1,39,1,48,15,0,1,16,0,60,0,0,1075,1.94591015,2.07944154,0.69314718,3.68887945,0.69314718,3.8918203,2.77258872,0,0.69314718,2.83321334,0,4.11087386,0,0,6.98100574,Software,6.94697599,810,6.6970342477,2
https://github.com/anahkiasen/rocketeer,1047,PHP,18,13,3,98,31,1155,357,0,0,120,10,370,11,0,824,2.94443898,2.63905733,1.38629436,4.59511985,3.4657359,7.05272105,5.88053299,0,0,4.79579055,2.39789527,5.91620206,2.48490665,0,6.71538339,Software,6.95368421,8505,9.0484095048,2
